Uuid,Void/Retire,Name
d9d1d81a-ab7c-47f5-9dbc-f837b82b4a30,TRUE,Captopril 50mg
1483054c-f2e7-499c-adf2-7c9a51ccc055,TRUE,Captopril Co 25mg
8d883d65-9473-46ff-8b14-0ebe1f9a86da,TRUE,Ceclor 125mg/5ml
bb8a1afa-9dbc-477d-93b3-411f03f742f7,TRUE,Ceclor 250mg/5ml
40c49aab-41f0-4782-a1c7-88d190e4ffae,TRUE,Ceftin 125mg/5ml
8dd89c2e-b45b-4fea-98d5-f6b9f02247c1,TRUE,Ceftin 250mg/5ml
7a595a6a-8c0b-4725-addd-ad2d82100b98,TRUE,Ceftriaxone 1g
8d4d2102-52a5-445d-9e0f-462d8967336a,TRUE,Celebrex 200mg
a6bb9b34-7417-4602-b2c4-62f8559c0ef9,TRUE,Chloroquine 250mg
28137a3d-215c-4b8f-bda1-ee13e5bb4bd5,TRUE,Chloroquine 500mg
588c4abc-3b4b-43c8-a55f-5e80b2c90f1e,TRUE,Chloroquine Co 250mg
da1aafd5-78a3-4848-8057-63a424b0aead,TRUE,Chloroquine Sirop 25mg/5ml
9c38ea14-0972-46a9-9dac-76cafbb44971,TRUE,Cipro 250mg
03f18d86-ac0a-49a6-87bf-e022119301ad,TRUE,Cipro 500mg
372d5752-dc7b-487e-b450-e7cdabacef50,TRUE,Cipro 750mg
9b305550-beb8-4c7b-a800-caab72438430,TRUE,Ciprofloxacin Co 500mg
ee3e761a-3d43-4c51-98a3-cc2bd94946b6,TRUE,Clarithromycine Co 500mg
8dd28534-a357-4617-8909-2160f7fd7e4c,TRUE,Claritin
2976fb3e-a020-4a29-8424-878928607e01,TRUE,Claritin 10mg
3e14295d-63f7-4876-8767-cf93f9c6ca68,TRUE,Claritin 5mg/5ml
b4abf73f-d647-49a7-9957-a16983d8b211,TRUE,Cleocin 150mg
ca382f91-17b3-4b54-973e-8ccbdd89b8e1,TRUE,Cleocin 300mg
8035131f-4346-481b-b746-84837e900781,TRUE,Cleocin 450mg
1a2354cb-3a85-4af9-8f36-d5146bda46a1,TRUE,Cloxacilline Co 500mg
ea44b958-6805-40ad-a6e3-7b67aa2fe0d1,TRUE,Cloxacilline Sirop 250mg/5ml
aae13cbd-1509-4e4d-9b5a-ce6139fb74c2,TRUE,Colace 100mg
3ac7c011-1168-4eb6-b071-6ee11d1e2b24,TRUE,Combivent 18mcg+103mcg
e8b79172-45cd-40ce-9ca8-0a6a652bb47e,TRUE,Cortef
bebc4d5f-df7b-485a-9b3b-3420f536cb6f,TRUE,Cotrim Co 960mg
bed41e87-9cfc-4d1f-9b44-c23732e6c162,TRUE,Cotrim Sirop 240mg/5ml
e3a59ed6-c9b9-4bb0-922d-25fc6aa74043,TRUE,Deltasone
c76ca2a3-c70e-42cd-9618-500ebf3f2474,TRUE,Deltasone 10mg
8a9fdf80-2caa-407d-96a7-a5701a140e6a,TRUE,Deltasone 20mg
c259b78f-6dac-4749-a21f-935646bc3c0d,TRUE,Deltasone 40mg
efb8b933-04cc-4f2f-8499-94a8b7b58027,TRUE,Deltasone 5mg
012f0f5d-c76e-4a28-8e60-30c440f5ff62,TRUE,Depo Provera
856c6ba9-201e-4022-a4b4-6d8aafeff7fd,TRUE,Dermadex 10mg
eb4fedd3-154d-43f8-ad6c-d89930b1e175,TRUE,Dexamethasone Injection vial 8mg
0113c442-4959-430d-a389-8cbafa2b8733,TRUE,Dextrose D50
3bc9e3a2-c85a-488b-b9a7-8e5fcafe2f81,TRUE,Dextrose Normal Saline 0.45%
ec535874-98d9-463c-a12a-42fa070c2f22,TRUE,Dextrose Normal Saline 0.9%
f8e266ec-24c9-4f64-89b0-33f1a052bd57,TRUE,Dextrose Water 10%
f6438215-66a1-4e8f-a57a-b747981fd8f6,TRUE,Dextrose Water 5%
13b68d05-a6c1-43ac-ae12-a68eb8459ab6,TRUE,Di-Gas Gtts 40mg
0e8496ea-c8f7-4f08-abef-994e3c3243a2,TRUE,Diazepam Co 5mg
2dca268b-fdb8-42f2-85eb-73a884c020ce,TRUE,Diazepam Injection vial 5mg
22ce4524-954e-41c2-a995-91ef80cad806,TRUE,Diclofenac 50mg
7bedc809-05bd-4baf-bd4b-5a21d9e48a01,TRUE,Diclofenac Co 50mg
2832337e-3ef1-47fa-8a46-2bc6e9910353,TRUE,Diclofenac Injection vial 75mg
fb1509f8-0287-4111-a58c-e4f48fa6575d,TRUE,Diflucan 100mg
f32f7a3f-d27f-412d-a91c-d8d99fad464e,TRUE,Diflucan 150mg
76a434fd-df90-4b19-ba47-26ddd7a00437,TRUE,Diflucan 200mg
62ee5947-bf62-4a42-8c07-0f939f766afe,TRUE,Dolex Pommade
c6f2a3cb-b57f-4537-a179-ea0764d38690,TRUE,Doxicycline Co 100mg
12dd160a-2ab4-4b95-900c-40ebf6ccc55f,TRUE,Doxycycline 100mg
33558e37-627d-475f-b18f-5e5baf0ac0a6,TRUE,Diphenhydramine Co 25mg
3e3c72db-491c-4690-be8b-1f2528fa3266,TRUE,Diphenhydramine Injection vial 20mg
a377a5e6-0992-46c5-b5b0-5e3aafa27e16,TRUE,Diphenhydramine Sirop 12.5mg/5ml
f3a1a212-12bc-43bd-b03f-73aeaac1379e,TRUE,Dipyrone Inj vial 1g
38978734-0960-4c7d-bb1e-725532bc4c6a,TRUE,Enalapril Co 10mg
872c01c8-e9c9-478f-b2f6-87acf661ab6c,TRUE,Ergotamine Injection 2mg
cbbc7d55-db59-4ea3-9f3b-d3709b1bb82d,TRUE,Erythromicine Co 500mg
74c26d25-3b98-4bf7-b962-3de028b352a7,TRUE,Erythromicine Sirop 125mg
f944281f-8655-4897-9fdb-6cc038d094f9,TRUE,Erythromycin 125mg/5ml
7a6c2021-7be0-46eb-bc03-b88b6d2f5ba6,TRUE,Erythromycin 250mg/5ml
ce6b9fe4-6cbc-495e-8744-20a9cb48f1cf,TRUE,Esomeprazole 20mg
ef56eef4-8be8-4c7b-af5b-38577d7b0e96,TRUE,Eucerin
e6b91fc3-8961-493e-9acb-5853162ffec7,TRUE,Famotidine
91450143-ca6e-46fe-9fff-274be47521db,TRUE,Famvir 250mg
114d5a9f-f369-4976-9eb7-1f78050c6a9b,TRUE,Fer Folate Co
2b05efc6-833d-4718-9e39-6aab785cbfce,TRUE,Fer Up Sirop
c554ffb2-5706-4623-a89a-008366cd564c,TRUE,Flagyl 250mg
89e1bd4d-2d1e-4c1b-92ca-1d997943020d,TRUE,Flagyl 500mg
f6f88eca-f59c-4859-8a7a-d005a59691ce,TRUE,Flexeril 10mg
b9f17974-47ba-430f-9a17-352f50241e90,TRUE,Flexeril 5mg
52b9f66b-cb47-487a-9452-00e036fe1dd8,TRUE,Flonase 50mcg
2f76266a-a841-4147-9401-c6b8409b8ccc,TRUE,Fluconazole Co 150mg
824dcc1b-27b7-459c-8f41-026b3af8dbe4,TRUE,Fongobacter Rince Bouche
eff805bf-db0e-4adf-9a3d-9a5039083016,TRUE,Furosemide Co 40mg
109ca9ff-5a43-42bd-b039-ba08c683ebb5,TRUE,Furosemide Injection vial 20mg
f8b1ef4c-66b6-4520-addc-ee58dd011c65,TRUE,Gastrogel Sirop
6b8a0e60-09ee-4d93-b46a-3ab8cab22b29,TRUE,Gatorade
1fb6be75-14f1-4171-af87-2a7fb223a806,TRUE,Gentamicin 0.3%
85dc7fa9-2cbb-42ca-a7a8-244465f4f737,TRUE,Gentian Violet 1%
af4be8ee-45b3-47e3-a32e-1c3bfb2e6f61,TRUE,Glipizide Er 3mg
912e4679-7758-403e-8441-5b528561f7bc,TRUE,Glipizide Er 6mg
a67aaa3a-0e89-4bb7-abf0-54eb6edbecad,TRUE,Globugen Sirop
b6a421fd-50f2-4ed7-b687-23d985e42a50,TRUE,Glucotrol 10mg
d6a60960-b4df-4ab0-a231-1c3fcc8414e1,TRUE,Glucotrol 5mg
80143eee-aad0-42bc-885c-7b84fa9d9f44,TRUE,Glybenclamide Co 5mg
